,Vacancy,Salary min,Salary max,Currency,Link,Site,Employer,Place
18,Машинист экскаватора-погрузчика,100000.0,100000.0,руб.,https://hh.ru/vacancy/67459857?query=%D0%BC%D0%B0%D1%88%D0%B8%D0%BD%D0%B8%D1%81%D1%82,hh.ru,ООО Грава,Москва
19,Тракторист-машинист сельскохозяйственного производства,100000.0,170000.0,руб.,https://hh.ru/vacancy/67474167?query=%D0%BC%D0%B0%D1%88%D0%B8%D0%BD%D0%B8%D1%81%D1%82,hh.ru,ООО Туровский,Москва
20,Машинист башенного крана (крановщик),90000.0,100000.0,руб.,https://hh.ru/vacancy/55574105?query=%D0%BC%D0%B0%D1%88%D0%B8%D0%BD%D0%B8%D1%81%D1%82,hh.ru,ООО МАШРЕЗЕРВ,"Москва, Пражская"
21,Машинист мостового крана,60000.0,,руб.,https://hh.ru/vacancy/66659432?query=%D0%BC%D0%B0%D1%88%D0%B8%D0%BD%D0%B8%D1%81%D1%82,hh.ru,АО БЕЛУГА ПРОДЖЕКТС ЛОДЖИСТИК,Москва
22,Машинист автокрана,70000.0,90000.0,руб.,https://hh.ru/vacancy/54221439?query=%D0%BC%D0%B0%D1%88%D0%B8%D0%BD%D0%B8%D1%81%D1%82,hh.ru,ООО РЕЗЕРВ,Москва
23,Машинист бульдозера,110000.0,130000.0,руб.,https://hh.ru/vacancy/66859289?query=%D0%BC%D0%B0%D1%88%D0%B8%D0%BD%D0%B8%D1%81%D1%82,hh.ru,ООО СПЕЦТРАНСпроект,Москва
24,Машинист экскаватора,80000.0,90000.0,руб.,https://hh.ru/vacancy/67371700?query=%D0%BC%D0%B0%D1%88%D0%B8%D0%BD%D0%B8%D1%81%D1%82,hh.ru,ООО ООО ПКП ИМПУЛЬС,"Москва, Коломенская"
25,Машинист экскаватора (механизатор),90000.0,110000.0,руб.,https://hh.ru/vacancy/67446377?query=%D0%BC%D0%B0%D1%88%D0%B8%D0%BD%D0%B8%D1%81%D1%82,hh.ru,ООО СтройБетонМонолит,Москва
26,Машинист экскаватора погрузчика Terex 825 / JCB 3cx,66000.0,132000.0,руб.,https://hh.ru/vacancy/67491032?query=%D0%BC%D0%B0%D1%88%D0%B8%D0%BD%D0%B8%D1%81%D1%82,hh.ru,ООО ПодземСетьСтрой,Москва
27,Машинист экскаватора,54240.0,135600.0,руб.,https://hh.ru/vacancy/66672229?query=%D0%BC%D0%B0%D1%88%D0%B8%D0%BD%D0%B8%D1%81%D1%82,hh.ru,ООО УПСК-4,Москва
28,Машинист экскаватора-погрузчика,100000.0,,руб.,https://hh.ru/vacancy/67058625?query=%D0%BC%D0%B0%D1%88%D0%B8%D0%BD%D0%B8%D1%81%D1%82,hh.ru,ООО ГАЗСЕРВИС,"Москва, Царицыно"
29,Машинист башенного крана,80000.0,90000.0,руб.,https://hh.ru/vacancy/67473269?query=%D0%BC%D0%B0%D1%88%D0%B8%D0%BD%D0%B8%D1%81%D1%82,hh.ru,ООО Строительно-Монтажное Управление - 15,Москва
30,Машинист бульдозера,100000.0,120000.0,руб.,https://hh.ru/vacancy/67006987?query=%D0%BC%D0%B0%D1%88%D0%B8%D0%BD%D0%B8%D1%81%D1%82,hh.ru,ООО МосТрансАренда,"Москва, Коломенская"
31,Машинист мостового крана,75000.0,,руб.,https://hh.ru/vacancy/66758339?query=%D0%BC%D0%B0%D1%88%D0%B8%D0%BD%D0%B8%D1%81%D1%82,hh.ru,ООО Универсальные Технологии,"Москва, Шоссе Энтузиастов"
32,Машинист экскаватора,100000.0,,руб.,https://hh.ru/vacancy/67103079?query=%D0%BC%D0%B0%D1%88%D0%B8%D0%BD%D0%B8%D1%81%D1%82,hh.ru,ООО Строительная компания Сфера,Москва
33,Машинист ВШРА,50000.0,,руб.,https://hh.ru/vacancy/67498844?query=%D0%BC%D0%B0%D1%88%D0%B8%D0%BD%D0%B8%D1%81%D1%82,hh.ru,"Пушкинская площадь, Полиграфический комплекс","Москва, Печатники"
